sample_barcode	journal	lib_id	library_plate	sample_seq_id	seq_id	R1	R2
PaOp00000041MP	MP007	LIB-MP007-D3	LIB00001	LIB00001-MP007-D3_1	LIB00001-MP001-D3	-	-
PaPr00000211MP	MP007	LIB-MP007-D4	LIB00001	LIB00001-MP007-D4_1	LIB00001-MP001-D4	-	-
PaPr00000187MP	MP007	LIB-MP007-D5	LIB00001	LIB00001-MP007-D5_1	LIB00001-MP001-D5	-	-
PaPr00000199MP	MP007	LIB-MP007-D6	LIB00001	LIB00001-MP007-D6_1	LIB00001-MP001-D6	-	-
PaOp00000045MP	MP007	LIB-MP007-D7	LIB00001	LIB00001-MP007-D7_1	LIB00001-MP001-D7	-	-
DoBa00000082MP	MP007	LIB-MP007-D8	LIB00001	LIB00001-MP007-D8_1	LIB00001-MP001-D8	-	-
PaPr00000027MP	MP007	LIB-MP007-D9	LIB00001	LIB00001-MP007-D9_1	LIB00001-MP001-D9	-	-
PaPr00000054MP	MP007	LIB-MP007-E1	LIB00001	LIB00001-MP007-E1_1	LIB00001-MP001-E1	-	-
PaPr00000043MP	MP007	LIB-MP007-E10	LIB00001	LIB00001-MP007-E10_1	LIB00001-MP001-E10	-	-
PaPr00000065MP	MP007	LIB-MP007-E11	LIB00001	LIB00001-MP007-E11_1	LIB00001-MP001-E11	-	-
PaNP00000007MP	MP007	LIB-MP007-E2	LIB00001	LIB00001-MP007-E2_1	LIB00001-MP001-E2	-	-
PaPr00000126MP	MP007	LIB-MP007-E3	LIB00001	LIB00001-MP007-E3_1	LIB00001-MP001-E3	-	-
PaPr00000078MP	MP007	LIB-MP007-E4	LIB00001	LIB00001-MP007-E4_1	LIB00001-MP001-E4	-	-
DoBa00000050MP	MP007	LIB-MP007-E5	LIB00001	LIB00001-MP007-E5_1	LIB00001-MP001-E5	-	-
PaOp00000008MP	MP007	LIB-MP007-E6	LIB00001	LIB00001-MP007-E6_1	LIB00001-MP001-E6	-	-
PaPr00000070MP	MP007	LIB-MP007-E7	LIB00001	LIB00001-MP007-E7_1	LIB00001-MP001-E7	-	-
PaOp00000048MP	MP007	LIB-MP007-E8	LIB00001	LIB00001-MP007-E8_1	LIB00001-MP001-E8	-	-
PaPr00000031MP	MP007	LIB-MP007-E9	LIB00001	LIB00001-MP007-E9_1	LIB00001-MP001-E9	-	-
DoBa00000034MP	MP007	LIB-MP007-F1	LIB00001	LIB00001-MP007-F1_1	LIB00001-MP001-F1	-	-
LIB-MP007-F10	MP007	LIB-MP007-F10	LIB00001	LIB00001-MP007-F10_1	LIB00001-MP001-F10	-	-
PaPr00000068MP	MP007	LIB-MP007-F11	LIB00001	LIB00001-MP007-F11_1	LIB00001-MP001-F11	-	-
PaOp00000067MP	MP007	LIB-MP007-F2	LIB00001	LIB00001-MP007-F2_1	LIB00001-MP001-F2	-	-
LIB-MP007-F3	MP007	LIB-MP007-F3	LIB00001	LIB00001-MP007-F3_1	LIB00001-MP001-F3	-	-
DoBa00000070MP	MP007	LIB-MP007-F4	LIB00001	LIB00001-MP007-F4_1	LIB00001-MP001-F4	-	-
PaOp00000012MP	MP007	LIB-MP007-F5	LIB00001	LIB00001-MP007-F5_1	LIB00001-MP001-F5	-	-
DoBa00000073MP	MP007	LIB-MP007-F6	LIB00001	LIB00001-MP007-F6_1	LIB00001-MP001-F6	-	-
